Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,Salary
Derrick Favors,C,26,UTA,77,77,28.0,5.1,9.1,.563,0.2,0.8,.222,4.9,8.3,.596,.573,1.8,2.8,.651,2.6,4.6,7.2,1.3,0.7,1.1,1.1,2.1,12.3,2018,"$12,000,000"
Raymond Felton,PG,33,OKC,82,2,16.6,2.7,6.7,.406,1.0,2.8,.352,1.7,3.9,.444,.479,0.4,0.5,.818,0.3,1.6,1.9,2.5,0.6,0.2,0.9,1.1,6.9,2018,"$1,471,382"
Terrance Ferguson,SG,19,OKC,61,12,12.5,1.1,2.8,.414,0.7,2.0,.333,0.5,0.8,.612,.533,0.1,0.2,.900,0.3,0.5,0.8,0.3,0.4,0.2,0.2,1.4,3.1,2018,"$1,785,000"
Yogi Ferrell,SG,24,DAL,82,21,27.8,3.8,8.9,.426,1.6,4.4,.373,2.2,4.5,.477,.518,1.0,1.3,.796,0.3,2.7,3.0,2.5,0.8,0.1,1.0,1.9,10.2,2018,"$1,312,611"
Dorian Finney-Smith,PF,24,DAL,21,13,21.3,2.2,5.8,.380,1.0,3.2,.299,1.2,2.6,.481,.463,0.5,0.7,.733,1.0,2.5,3.6,1.2,0.5,0.2,1.0,2.0,5.9,2018,"$1,312,611"
Bryn Forbes,SG,24,SAS,80,12,19.0,2.6,6.2,.421,1.1,2.9,.390,1.5,3.4,.446,.510,0.6,0.9,.667,0.2,1.2,1.4,1.0,0.4,0.0,0.5,1.4,6.9,2018,"$1,312,611"
Evan Fournier,SF,25,ORL,57,57,32.2,6.5,14.1,.459,2.2,5.9,.379,4.2,8.2,.516,.538,2.6,3.0,.867,0.4,2.8,3.2,2.9,0.8,0.3,1.7,2.4,17.8,2018,"$17,000,000"
De'Aaron Fox,PG,20,SAC,73,60,27.8,4.5,10.9,.412,0.6,2.1,.307,3.8,8.8,.436,.441,1.9,2.7,.723,0.5,2.3,2.8,4.4,1.0,0.3,2.4,2.2,11.6,2018,"$4,609,200"
Channing Frye,C,34,TOT,53,1,13.1,2.0,4.0,.491,0.7,2.2,.339,1.2,1.8,.670,.583,0.3,0.4,.895,0.2,2.3,2.5,0.7,0.3,0.2,0.4,1.3,5.0,2018,"$7,420,912"
Markelle Fultz,SG,19,PHI,14,0,18.1,3.2,7.9,.405,0.0,0.1,.000,3.2,7.9,.409,.405,0.7,1.5,.476,0.8,2.3,3.1,3.8,0.9,0.3,1.2,1.6,7.1,2018,"$8,339,880"
Danilo Gallinari,SF,29,LAC,21,21,32.0,4.9,12.2,.398,1.7,5.3,.324,3.1,6.9,.455,.469,3.9,4.1,.931,0.4,4.4,4.8,2.0,0.6,0.5,1.2,1.4,15.3,2018,"$20,559,599"
Langston Galloway,SG,26,DET,58,2,14.9,2.2,5.9,.371,1.3,3.8,.344,0.9,2.1,.418,.481,0.6,0.7,.805,0.2,1.4,1.6,1.0,0.6,0.1,0.3,0.7,6.2,2018,"$7,000,000"
Marc Gasol,C,33,MEM,73,73,33.0,5.9,14.2,.420,1.5,4.4,.341,4.5,9.8,.456,.473,3.8,4.6,.834,1.1,7.0,8.1,4.2,0.7,1.4,2.7,2.5,17.2,2018,"$22,642,350"
Pau Gasol,C,37,SAS,77,63,23.5,3.7,8.1,.458,0.6,1.6,.358,3.2,6.6,.481,.492,2.1,2.7,.756,1.7,6.4,8.0,3.1,0.3,1.0,1.4,1.6,10.1,2018,"$16,000,000"
Rudy Gay,PF,31,SAS,57,6,21.6,4.4,9.4,.471,0.6,2.1,.314,3.8,7.4,.516,.506,2.0,2.5,.772,1.3,3.8,5.1,1.3,0.8,0.7,1.4,1.7,11.5,2018,"$8,406,000"
Paul George,SF,27,OKC,79,79,36.6,7.3,17.0,.430,3.1,7.7,.401,4.2,9.3,.454,.521,4.3,5.2,.822,0.9,4.7,5.7,3.3,2.0,0.5,2.7,2.9,21.9,2018,"$19,508,958"
Marcus Georges-Hunt,SG,23,MIN,42,0,5.3,0.5,1.1,.438,0.1,0.4,.267,0.4,0.8,.515,.479,0.3,0.5,.619,0.2,0.2,0.4,0.2,0.1,0.0,0.1,0.8,1.4,2018,"$1,312,611"
Taj Gibson,PF,32,MIN,82,82,33.2,5.2,9.0,.577,0.1,0.4,.200,5.1,8.6,.595,.581,1.7,2.3,.768,2.4,4.8,7.1,1.2,0.8,0.7,1.1,2.7,12.2,2018,"$14,000,000"
Eric Gordon,SG,29,HOU,69,30,31.2,6.0,14.1,.428,3.2,8.8,.359,2.9,5.2,.544,.540,2.8,3.5,.809,0.4,2.1,2.5,2.2,0.6,0.4,1.9,1.7,18.0,2018,"$12,943,020"
Jerami Grant,PF,23,OKC,81,1,20.3,3.0,5.6,.535,0.4,1.4,.291,2.6,4.3,.613,.570,2.0,3.0,.675,1.1,2.9,3.9,0.7,0.4,1.0,0.7,1.9,8.4,2018,"$1,524,305"
