,RK,NAME,TEAM,SALARY,Year
39,397,Dillon Brooks,Memphis Grizzlies,"$1,378,242",2019
40,398,Tyler Dorsey,Memphis Grizzlies,"$1,378,242",2019
41,399,Jordan Bell,Golden State Warriors,"$1,378,242",2019
42,400,Thomas Bryant,Washington Wizards,"$1,378,242",2019
0,401,Royce O'Neale,Utah Jazz,"$1,378,242",2019
1,402,Abdel Nader,Oklahoma City Thunder,"$1,378,242",2019
2,403,Brandon Paul,San Antonio Spurs,"$1,378,242",2019
3,404,Jawun Evans,Oklahoma City Thunder,"$1,378,242",2019
4,405,Wes Iwundu,Orlando Magic,"$1,378,242",2019
5,406,Khem Birch,Orlando Magic,"$1,378,242",2019
6,407,Damyean Dotson,New York Knicks,"$1,378,242",2019
7,408,Ivan Rabb,Memphis Grizzlies,"$1,378,242",2019
8,409,Jaylen Morris,Milwaukee Bucks,"$1,378,242",2019
9,410,Sterling Brown,Milwaukee Bucks,"$1,378,242",2019
10,RK,NAME,TEAM,SALARY,2019
11,411,Frank Mason III,Sacramento Kings,"$1,378,242",2019
12,412,Rodney Purvis,Miami Heat,"$1,378,242",2019
13,413,David Stockton,Los Angeles Lakers,"$1,378,242",2019
14,414,Ike Anigbogu,Indiana Pacers,"$1,378,242",2019
15,415,Zhou Qi,Houston Rockets,"$1,378,242",2019
16,416,Antonius Cleveland,Dallas Mavericks,"$1,378,242",2019
17,417,Maxi Kleber,Dallas Mavericks,"$1,378,242",2019
18,418,Sindarius Thornwell,LA Clippers,"$1,378,242",2019
19,419,Frank Jackson,New Orleans Pelicans,"$1,378,242",2019
20,420,Semi Ojeleye,Boston Celtics,"$1,378,242",2019
21,RK,NAME,TEAM,SALARY,2019
22,421,Daniel Theis,Boston Celtics,"$1,378,242",2019
23,422,Jabari Bird,Atlanta Hawks,"$1,349,464",2019
24,423,Ben Moore,San Antonio Spurs,"$1,349,383",2019
25,424,Monte Morris,Denver Nuggets,"$1,349,383",2019
26,425,Daniel Hamilton,Atlanta Hawks,"$1,349,383",2019
27,426,Alfonzo McKinnie,Golden State Warriors,"$1,349,383",2019
28,427,Antonio Blakeney,Chicago Bulls,"$1,349,383",2019
29,428,Ryan Arcidiacono,Chicago Bulls,"$1,349,383",2019
30,429,Tyrone Wallace,LA Clippers,"$1,349,383",2019
31,430,Tyson Chandler,Phoenix Suns,"$1,333,140",2019
32,RK,NAME,TEAM,SALARY,2019
33,431,Shaquille Harrison,Chicago Bulls,"$1,311,265",2019
34,432,Elie Okobo,Phoenix Suns,"$1,238,464",2019
35,433,Jalen Brunson,Dallas Mavericks,"$1,230,000",2019
36,434,Okaro White,Washington Wizards,"$1,187,862",2019
37,435,Joakim Noah,Memphis Grizzlies,"$1,093,858",2019
38,436,Melvin Frazier Jr.,Orlando Magic,"$1,050,000",2019
39,437,Nick Young,Denver Nuggets,"$1,042,584",2019
40,438,Isaac Bonga,Los Angeles Lakers,"$1,000,000",2019
41,439,Devonte' Graham,Charlotte Hornets,"$988,464",2019
42,440,De'Anthony Melton,Phoenix Suns,"$949,000",2019
0,441,Ron Baker,Washington Wizards,"$948,580",2019
1,442,Austin Rivers,Washington Wizards,"$922,943",2019
2,443,Chasson Randle,Washington Wizards,"$869,094",2019
3,444,Hamidou Diallo,Oklahoma City Thunder,"$838,464",2019
4,445,Chimezie Metu,San Antonio Spurs,"$838,464",2019
5,446,Gary Trent Jr.,Portland Trail Blazers,"$838,464",2019
6,447,Jevon Carter,Memphis Grizzlies,"$838,464",2019
7,448,Isaiah Briscoe,Orlando Magic,"$838,464",2019
8,449,Jarred Vanderbilt,Denver Nuggets,"$838,464",2019
9,450,Alize Johnson,Indiana Pacers,"$838,464",2019
10,RK,NAME,TEAM,SALARY,2019
11,451,Isaiah Hartenstein,Houston Rockets,"$838,464",2019
12,452,Bruce Brown,Detroit Pistons,"$838,464",2019
13,453,Khyri Thomas,Detroit Pistons,"$838,464",2019
14,454,Keita Bates-Diop,Minnesota Timberwolves,"$838,464",2019
15,455,Ryan Broekhoff,Dallas Mavericks,"$838,464",2019
16,456,Kenrich Williams,New Orleans Pelicans,"$838,464",2019
17,457,Brad Wanamaker,Boston Celtics,"$838,464",2019
18,458,Patrick McCaw,Toronto Raptors,"$777,665",2019
19,459,Kenneth Faried,Brooklyn Nets,"$683,661",2019
20,460,Brandon Goodwin,Denver Nuggets,"$630,032",2019
21,RK,NAME,TEAM,SALARY,2019
22,461,Gary Clark,Houston Rockets,"$596,873",2019
23,462,Bruno Caboclo,Memphis Grizzlies,"$522,151",2019
24,463,Wesley Matthews,New York Knicks,"$512,746",2019
25,464,Salah Mejri,Dallas Mavericks,"$512,746",2019
26,465,Nik Stauskas,Portland Trail Blazers,"$504,200",2019
27,466,Jeremy Lin,Toronto Raptors,"$487,109",2019
28,467,Enes Kanter,Portland Trail Blazers,"$487,109",2019
29,468,John Jenkins,Washington Wizards,"$486,520",2019
30,469,Malcolm Miller,Toronto Raptors,"$457,418",2019
31,470,Chris Boucher,Toronto Raptors,"$457,418",2019
32,RK,NAME,TEAM,SALARY,2019
33,471,Markieff Morris,Washington Wizards,"$427,288",2019
34,472,Henry Ellenson,New York Knicks,"$341,831",2019
35,473,Pau Gasol,San Antonio Spurs,"$333,285",2019
36,474,Andrew Bogut,Golden State Warriors,"$307,648",2019
37,475,Jaylen Adams,Atlanta Hawks,"$270,014",2019
38,476,Danuel House Jr.,Houston Rockets,"$247,827",2019
39,477,Jimmer Fredette,Phoenix Suns,"$208,509",2019
40,478,Tim Frazier,Milwaukee Bucks,"$196,553",2019
41,479,Dairis Bertans,New Orleans Pelicans,"$194,220",2019
42,480,Ray Spalding,Phoenix Suns,"$184,746",2019
